噶哈巫語,華語,kaxabu_mt,華語_clean
azem haka kaidi xasep adang ilas iu xasep isit a daali haki yami kaxabu a azem.,「我們噶哈巫的過年是在十一月十五日。」,Ita Kaxabu a guonian i bulan sa-puluq ida adaw sa-puluq xasep.,我們噶哈巫的過年是在十一月十五日。
pakahalupat’ina!,「請長一點！」,pabngun misa!,請長一點！
pakamaziah’i!,「使熟！」,pasaq!,使熟！
seket’i taating hann!,「休息一下下！」,xiuxi yixia xia!,休息一下下！
isiw a pai suzuk’i!,「你的錢藏起來！」,Ipud sising su!,你的錢藏起來！
imini ka yaku a ina.,「這是我的母親。」,Iza ina-ku.,這是我的母親。
imisiw ka yaku a aba.,「那是我的父親。」,Ira ama-ku.,那是我的父親。
nisiw a pai haaput mubaxa ima?,「你的錢要給誰？」,mabai isu su pecing ta ima?,你的錢要給誰？
isiw ka mudok axay?,「你在喝什麼？」,isu minom ima?,你在喝什麼？
imisiw ka kaidi taantaw siisinaw siatu.,「他在水溝洗衣服。」,iza misasi badju i shuigou.,他在水溝洗衣服。
imisiw ka kaidi humak meken sumay lia.,「他在家裡吃飯了。」,iya mangan pa i ruma,他在家裡吃飯了。
"yami a aba, ina, apuapu kaidini malaleng.",「我們的父親、母親、曾祖父母在這裡居住。」,"Ma-qema i qani ama-ta, ina-ta, apu ni apu-ta.",我們的父親、母親、曾祖父母在這裡居住。
"yaku ka kaidini mituku, imu ka kaidisiw maahadas.",「我在這裡坐，他們在那裡玩。」,"yaku matengud dini, ira malali dita.",我在這裡坐，他們在那裡玩。
yaku talima kaidi humak eezaw.,「我自己在家而已。」,iaku siki ni luma’,我自己在家而已。
"dahu a paipai kaidi daan, hazian a saanu muzakay.",「在路上很多車，很不好走。」,"i lalan adu a tsia, adi mapia a malakat.",在路上很多車，很不好走。
imini a wazu ka saanu imisiw mututing.,「這狗被他打。」,asu ini palu-en niya,這狗被他打。
inusat saanu saw mabusuk.,「酒讓人醉。」,Bahi pa-lasing tau.,酒讓人醉。
yaku maa pai saanu isiw.,「我拿錢給你。」,Aku ane cin ka isu.,我拿錢給你。
yaku saanu tatoko mututing wazu.,「我用拐杖打狗。」,iku sapak asu sa guaizhang.,我用拐杖打狗。
paka isiw paluzuakzuak’i nahaza ali akhéhén.,「讓你多子多孫有孫、小孩！」,Ma-adu su a anak ma apu!,讓你多子多孫有孫、小孩！
yaku maki isiw kaidini palizak.,「我跟你在這裡曬太陽。」,ita i hiti i adaw,我跟你在這裡曬太陽。
yaku maki mama mukusa binayu.,「我和哥哥去山上。」,iza ini kaka musa ta babaw.,我和哥哥去山上。
yaku iu mama mukusa binayu.,「我和哥哥去山上。」,iza ka kaka musa tu babaw.,我和哥哥去山上。
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」,Miya aku gege ani jiejie.,我有哥哥和姊姊。
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」,"malakat ka mipawis, masakit i qulu.",走路和流汗就頭痛了。
alo maki yami meken!,「來跟我們吃！」,Mai mkan ka ita!,來跟我們吃！
nang a maki isiw mukawas.,「不要跟你講話。」,owa ku sasanga kisu.,不要跟你講話。
imini a ahan ka mades ini mukawat.,「這話很久沒說。」,Hangalaw adi musa’ tu qasa’ ni.,這話很久沒說。
"imisiw a akhéhén mamais, ukut muaping lia.",「那個女孩，褲子破掉了。」,Ira a babai a zubon po liaw.,那個女孩，褲子破掉了。
"kaidini a aitukuan, aa’en akhéhén lia.",「在這裡的椅子，被小孩拿走了。」,Yizi ini na-ala no xiaohai.,在這裡的椅子，被小孩拿走了。
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」,Mi isa burak i ini.,在這裡有一朵花。
kaidisiw a balan muzakay.,「在那裡的貓在走路。」,ira a pusi musa.,在那裡的貓在走路。
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」,Chouyen ira i ida,他們在那裡抽菸。
ana monosu!,「別那樣！」,ini tuza!,別那樣！
"ohoni a saw, dahu a hazian a saw haé.",「現在的人，很多壞人呀！」,"Kaini a tao, adu a masama!",現在的人，很多壞人呀！
ohoza a saw haaput mukusa binayu.,「以前的人喜歡去山上。」,Ini a misa ma-ayat musa tu sazu'a.,以前的人喜歡去山上。
mikita azang a titay.,「看到一隻老鼠。」,Mita isa a tikus.,看到一隻老鼠。
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」,Hini ma isa pue.,在這裡有一朵花。
yami a humak daadalum tuu a bauzak.,「我們家養三隻豬。」,Ruma ni kami turu a babuy.,我們家養三隻豬。
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,vuvu ita dusa,我們兩個是老人。
ita tuu ka tatawan a saw.,「咱們三個是臺灣人。」,Tao a Taiwan ita turu.,咱們三個是臺灣人。
alia haaput midem lia.,「差不多要睡了。」,qasi tulug.,差不多要睡了。
alia lia.,「差不多了。」,bahu iza,差不多了。
"apu ka ini tahayak, mituku eezaw.",「阿公不累，坐著而已。」,"Apu ai mqalux, misa’ atengil.",阿公不累，坐著而已。
imini eezaw lia.,「這樣而已了。」,ani sa la.,這樣而已了。
adade eezaw.,「一個而已。」,isa.,一個而已。
imini a kazo tuxubut azawzaw.,「這桃子非常甜。」,mamis mamis ini taozi,這桃子非常甜。
ana maahan azawzaw hann.,「別亂騙人。」,Mai luan pian tau.,別亂騙人。
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,Atun hanini mipulot guaizhang-ku.,Atun 現在在撿我的拐杖。
imini ka uzay yaku a beleben.,「這不是我的香蕉。」,ini asi iku a pisang.,這不是我的香蕉。
yaku ini meken sumay.,「我沒有吃飯。」,yaku adi mangan,我沒有吃飯。
ana mukusa!,「別去！」,aca kida!,別去！
yaku mayaw meken.,「我還沒吃。」,Yaku adi pa mangan.,我還沒吃。
kuang a udan lia.,「沒有雨了。」,ini udan na,沒有雨了。
yaku a aba ka nang a musinaw yaku a siatu.,「我的爸爸不要洗我的衣服。」,Ama-ku ini manga laba kamis-ku.,我的爸爸不要洗我的衣服。
akhéhén mamek axaxay.,「小孩什麼都不懂。」,Wawa ini mita nima.,小孩什麼都不懂。
yaku ka mineken lia.,「我吃完了。」,yaku mikani ini,我吃完了。
yaku a suazi mudawan ka maida.,「我的弟弟洗澡很快。」,Adik=ku mavasu madali-dali.,我的弟弟洗澡很快。
yaku ka kaxabu a saw.,「我是噶哈巫人。」,iku Kaxabu tau.,我是噶哈巫人。
yaku ka meken sumay.,「我在吃飯。」,yaku kaen,我在吃飯。
imini ka uzay yaku a beleben.,「這不是我的香蕉。」,Iza aini pisang-ku.,這不是我的香蕉。
yaku a aba ka maida a muzakay.,「我的爸爸走路很快。」,ama-ku malakaw miskis.,我的爸爸走路很快。
yaku a apu madiak a muzakay.,「我的祖父走路很慢。」,Apu=ku lumaka matedek.,我的祖父走路很慢。
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」,iai kaka ku ani kaka ku,我有哥哥和姊姊。
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」,"Milalan ka mipawis, masakit ulun-ku na.",走路和流汗就頭痛了。
isiw ka haaput meken dadas iu dukun?,「你是要吃番薯還是芋頭？」,isu kaen kamote o tales?,你是要吃番薯還是芋頭？
"yaku haaput mukusa binayu iak, iu ana mukusa iak?",「我要去好，還是不要去好？」,yaku lako o ini lako?,我要去好，還是不要去好？
"ohoni mudan liaka yaku nang a mukusa mikita umama, iu nang a mukusa maahadas.",「現在下雨了，我不想去看田，也不想去玩。」,"Niana ma-udan, aku ini qemang mita uma, ka ini qemang susa la.",現在下雨了，我不想去看田，也不想去玩。
"imini a saw dahu a pai, kulaka ini mahabay a hinis.",「這個人很有錢，但是不快樂。」,"Ini a tau adu pisin, ta aini malipai.",這個人很有錢，但是不快樂。
"ohoni liaka nahaza dalum kula, kuang a alaw lia.",「現在雖然有水，但沒有魚了。」,"Kaini iza danum, miza sikan tu.",現在雖然有水，但沒有魚了。
anani!,「唉唷！」,aiyo!,唉唷！
anani kuadeng!,「唉唷喂呀！」,ai!,唉唷喂呀！
alasay!,「好險！」,masial!,好險！
"masu wazu mukusa binayu mungazip bauzak, ilis haki niam a apuapu.",「我們的祖先會帶狗去山上咬豬、羊。」,ni apu ta m-dala wasu tu rayax m-kagat babuy tan yang,我們的祖先會帶狗去山上咬豬、羊。
mungazip yaku haki wazu.,「狗咬我。」,Asu kagat saku.,狗咬我。
mataw a mulaliw liaka mauit liaki humak.,「大地震（發生後），房子就倒了。」,"Ini da dizhen, ruma madaw.",大地震（發生後），房子就倒了。
mupayak liaki yaku a siatu.,「我的衣服濕了。」,iku a yifu mabasaw.,我的衣服濕了。
muasak liaki laladan.,「桌子壞掉了。」,zhuozi mapus.,桌子壞掉了。
mututing yaku haki atun.,「Atun 打我。」,Baki-un yaku ni Atun.,Atun 打我。
tuting’en ni aba lia.,「被爸爸打了。」,palu-en ni ama,被爸爸打了。
yami a eten nahaza tuu a atun.,「我們的村莊有三個 Atun。」,Iza turu a Atun i banua-ta.,我們的村莊有三個 Atun。
yami sianglukus malaleng kaidi abaxan.,「我們守城（的人）住在北邊。」,Ita a shoucheng i beibian.,我們守城（的人）住在北邊。
"baisia a eten, kaidi ahut.",「牛眠庄在西邊。」,Niumianzhuang i xibian,牛眠庄在西邊。
yami ka kaidi daya mupuza.,「我從比較高的、東邊來的。」,Iku inmali tu matadaw a kaqiting.,我從比較高的、東邊來的。
yaku haaput mukusa masulohong maahadas.,「我想去中國玩。」,Aku balay musa Tiong-kok malahi.,我想去中國玩。
isiw ka yaku a dakan.,「你在我的前面。」,isu i unahan no aku.,你在我的前面。
isiw ka yaku a aubin.,「你在我的後面。」,isu i quri’ ku.,你在我的後面。
"kaidi laladan a babaw, nahaza beleben.",「在桌上，有香蕉。」,I lamesa iza saba.,在桌上，有香蕉。
kalikut ka kaidi amihan.,「大湳在南邊。」,Danan i nanbian.,大湳在南邊。
taumin ka daya taating.,「蜈蚣崙東邊一些。」,quri i Wugonglun musa,蜈蚣崙東邊一些。
dadas kaidi umama.,「番薯在田裡。」,Kumara i uma.,番薯在田裡。
yaku maki mama mukusa binayu.,「我跟哥哥去山上。」,iza ni kaka mosa ta tanap,我跟哥哥去山上。
imisiw ka kaidi humak meken sumay lia.,「他在家裡吃飯了。」,kinan iya i ruma,他在家裡吃飯了。
imisiw ka kaidi taantaw siisinaw siatu.,「他在水溝洗衣服。」,iya misintak i kangka.,他在水溝洗衣服。
sasunan ka atun mukusa umama.,「早上阿敦有去田裡。」,Zaoshang A-tun musa i uma.,早上阿敦有去田裡。
ahuan ka dahu a saw haaput mudawan.,「晚上很多人要洗澡。」,"Rabi, rami a utaw saka miwasu.",晚上很多人要洗澡。
"ohoza ka kuang a saanu mukukusa, paxuma mulasi eezaw.",「以前沒有什麼工作，種稻子而已。」,"Makuda taya ulih, mitanom pajay la.",以前沒有什麼工作，種稻子而已。
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,Niana mi-ala Atun baston-ku.,Atun 現在在撿我的拐杖。
kaidi meseket a daali mukusa ahong maa alaw.,「在休息的日子去溪裡抓魚。」,adlaw no pahinga umay tu karayan mang-ala ikan.,在休息的日子去溪裡抓魚。
pasaken daalian liaka mupuza humak meken sumay lia.,「到中午之後回家吃飯了。」,"Iza zhongwu, mibalay mangan na.",到中午之後回家吃飯了。
"imini dusa ka maxupapa muula, aubin liaka maatebetebe lia.",「這兩個先互罵，後來互捶。」,"ini dusa pina maki-saba, ruma maki-palu.",這兩個先互罵，後來互捶。
imini a dadas ka yaku a dadas.,「這番薯是我的番薯。」,ini a kumote ka kumote naku,這番薯是我的番薯。
imisiw a saw tangiti lia.,「那個人生氣了。」,iitu a tao matasang.,那個人生氣了。
mainu a iing ka haaput midem.,「腰痠就要睡覺。」,"Ini masakit a likud, turu.",腰痠就要睡覺。
mamuduk a kaaw lia. nang a muzakay lia.,「腳很腫了，不要走路了。」,"Isu saka mamaga na, mai talaw na.",腳很腫了，不要走路了。
dahu a paipai kaidi daan.,「很多車在路上。」,Adu kuruma i dalan.,很多車在路上。
mausay maa taating a dalum.,「去拿一些水。」,Ala tu danum.,去拿一些水。
yaku ka nahaza tuu a bauzak.,「我有三隻豬。」,Aku tolo a babuy.,我有三隻豬。
imini ka yaku a siatu.,「這是我的衣服。」,Ini baju ku.,這是我的衣服。
imini ka imisiw a beleben.,「這是他的香蕉。」,Ini xiangjiao-na.,這是他的香蕉。
ita ka tatawan a saw.,「咱們是台灣人。」,ita taiwan a tau,咱們是台灣人。
binayu nahaza binayu a bauzak.,「山上有山豬。」,i quri iza babuy a quri.,山上有山豬。
paxuma dalum a ali eezaw lia.,「（現在只有）種水筍而已了。」,Niya' maya' mqani shui-sun la.,（現在只有）種水筍而已了。
"kaidi laladan a babaw, nahaza beleben.",「在桌上，有香蕉。」,"i zhuozi, u xiangjiao.",在桌上，有香蕉。
ohoza saanu muzakay a daan tatiting eezaw.,「以前道路，小小的而已。」,"Luma tu lalan, madi’it la.",以前道路，小小的而已。
"kaidini a aitukuan, aa’en akhéhén lia.",「在這裡的椅子，被小孩拿走了。」,yizi tu itini alaen ni wawa,在這裡的椅子，被小孩拿走了。
kaidisiw a balan muzakay.,「在那裡的貓在走。」,umay pusi i ira.,在那裡的貓在走。
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,ami a dusa ko mato'a,我們兩個是老人。
ita tuu ka tatawan a saw.,「咱們三人是臺灣人。」,Ita turu a tao Taiwan.,咱們三人是臺灣人。
imu dusa mikita iak liaka iak lia.,「你們兩個如果看好就好了。」,"nu isu dusa mita masep, masep.",你們兩個如果看好就好了。
mudan a daali ka yaku nang a mukusa maahadas.,「下雨的時候我不要去玩。」,"Budan a tohan, yaku ini qasa palah.",下雨的時候我不要去玩。
kaidi meseket a daali mukusa axung maa alaw.,「在休息的日子去溪裡抓魚。」,"Na rahan a mipahing, mala tu sapa takop ikan.",在休息的日子去溪裡抓魚。
mubaza matoway a saw mutahan dahu a pai haé.,「會唱歌的人賺很多錢呢。」,tao a makakanta ada pising a dakel ni.,會唱歌的人賺很多錢呢。
imini ka miadua a saw a beleben.,「這是那邊的人的香蕉。」,Ini saging na ira.,這是那邊的人的香蕉。
imisiw a akhéhan a siatu mupayak lia.,「那個小孩的衣服濕了。」,Mabasa ka yifu na ita wawa.,那個小孩的衣服濕了。
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿一點豬肉去我朋友家。」,Aku m-ala riki-riki babuy tu ruma ni piring-ku.,我要拿一點豬肉去我朋友家。
kaidini nahaza adade a lubahing a tulala.,「這裡有一朵紅花。」,Ini isa bulaq pulaq.,這裡有一朵紅花。
"uzay pato ohoni dahu a mataw a dalum, kuang a alaw saanu mukumuk.",「不像現在很多大的水，沒有魚可以抓。」,"Ini kaka itini, dakal a danum a mazaq, ini sikan a mahuli.",不像現在很多大的水，沒有魚可以抓。
musamian dahu a binayu a apuapu iu kaidi axung a apuapu.,「拜很多山上的祖先以及溪裡的祖先。」,mipasi manga anitu i quriq ma i karayan,拜很多山上的祖先以及溪裡的祖先。
imini a akhéhén mamais iak a hinis.,「這女孩心地很好。」,ini wawa babai pusu mapia.,這女孩心地很好。
yaku dahu a suazi mamais.,「我很多妹妹。」,adu adik babai-ku,我很多妹妹。
baba atun mukusa binayu mukukusa.,「Atun 伯伯去山上工作。」,Atun bobo musa takis mitrawaho.,Atun 伯伯去山上工作。
tata sabong ka mukusa mataw a axung maa alaw.,「Sabong 阿姨去大溪抓魚。」,Sabong Ayi musa ta Daxi mala sapal.,Sabong 阿姨去大溪抓魚。
dahu a angat sabong.,「很多 Sabong 的名字。」,Dakaw ngaran ni Sabong,很多 Sabong 的名字。
dahu a sabong a langat.,「很多 Sabong 的名字。」,Adu a ngaran ni Sabong.,很多 Sabong 的名字。
imini ka yaku mubaiw a beleben.,「這是我買的香蕉。」,ini kimtsio a m-in-bli=ku,這是我買的香蕉。
imisiw ka yaku a apu paxuma a kixiw.,「那是我祖母種的苧麻。」,Iri zhuma a tanem ni apu=ku.,那是我祖母種的苧麻。
ita ka tatawan a saw.,「我們是台灣人。」,Taywan a tao ita.,我們是台灣人。
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,ita dusa vuvu,我們兩個是老人。
imisiw ka yaku a ina.,「她是我的母親。」,iya ina-ku.,她是我的母親。
imisiw ka yaku a aba.,「他是我的父親。」,Iza ama-ku.,他是我的父親。
imisiw ka yaku a aba.,「那是我的爸爸。／他是我的爸爸。」,ira ama-ku,那是我的爸爸。／他是我的爸爸。
imini ka yaku a batan.,「這是我的朋友。／他是我的朋友。」,Ini qaniq=ku.,這是我的朋友。／他是我的朋友。
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」,Ira misigarilyo uda.,他們在那裡抽菸。
"yaku ka kaidini mutuku, imu ka kaidisiw maahadas.",「我在這裡玩，他們在那裡玩。」,"yaku maliw ini, sira maliw ira.",我在這裡玩，他們在那裡玩。
imu ka utakay a saw.,「他們是客家人。」,ida kejia.,他們是客家人。
imu dusa mupuza yami a humak.,「你們兩個人來到我們的家。」,Kamu dusa mali di ruma kami.,你們兩個人來到我們的家。
imisiw ka mupuza kaidini maahadas.,「他（們）來這邊玩。」,mali qani musa,他（們）來這邊玩。
imisiw ka mausay humak lia.,「他（們）要回家了。」,iya sa mpuwi ruma,他（們）要回家了。
yaku saisiman isiw.,「我疼你。」,yaku suma su.,我疼你。
isiw saisiman yaku.,「你疼我。」,isu quni iku,你疼我。
yaku ka mamaneng a saw.,「我是男人。」,Yaku lalahi.,我是男人。
isiw ka mausay tshay?,「你要去哪裡？」,Mangay isu siani?,你要去哪裡？
imisiw adade mukusa mataw eten.,「他自己去街上。」,iya musa i lalan,他自己去街上。
ita ka tatawan a saw.,「咱們是台灣人。」,Ita tao ni Taiwan.,咱們是台灣人。
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,Matua ita dusa.,我們兩個是老人。
imu dusa mupuza yami a humak.,「你們兩個人來到我們的家。」,Umali dusa a kamu i balay nami.,你們兩個人來到我們的家。
imu ka utakay a saw.,「他們是客家人。」,ira hakka.,他們是客家人。
mahabay ki yaku.,「我很舒服。」,iku masalu.,我很舒服。
nang a musapoh daxe haki yaku.,「我不要掃地板。」,ini iza msaw misapu diban,我不要掃地板。
iak a lama ki isiw.,「你真好命。」,isu mara homia.,你真好命。
kuang a pai saanu medepex haki yami.,「我們沒有錢可以讀書。」,Ita adai piso a mi-iskul.,我們沒有錢可以讀書。
iak a saanu mitun haki ita.,「咱們該起來了！」,Ita ma-tindeg!,咱們該起來了！
paka yaku matahatan haki imu.,「你們讓我很快樂。」,Kamu palipay aku.,你們讓我很快樂。
saw haaput mahatan yaku.,「人愛笑我。」,Tawa iku tawu.,人愛笑我。
yaku haaput isiw.,「我愛你。」,yaku ai isu.,我愛你。
pakatangiti ita haki taumala.,「政府讓咱們生氣。」,Zhengfu paka-saqi ita.,政府讓咱們生氣。
nita a takat mupuza kiikita yami.,「我們的老師來看我們。」,Tiser nami malai mita ami.,我們的老師來看我們。
mungazip yaku haki wazu.,「狗咬我。」,asu kagat yaku.,狗咬我。
mututing yaku haki atun.,「Atun 打我。」,Atun misapak yaku.,Atun 打我。
sinaw’en naki lia.,「被我洗了。」,laba-en ni aku,被我洗了。
salaman maa’en naki lia.,「碗被我拿了。」,ala-en ka uan ni aku.,碗被我拿了。
isiw a mizazuk a dalum dok’en yaku lia.,「你的水被我喝了。」,Iku n-inum danum su,你的水被我喝了。
muaxay ki nisiw a akhéhén mangit hann?,「為什麼你的小孩在哭？」,Nima miyal wawa no isu?,為什麼你的小孩在哭？
tuting’en yaku hann.,「被我打了。」,palu-en=ku,被我打了。
imini a wazu ka saanu imisiw mututing.,「這隻狗被他打。」,asu ini palu-en ni iya,這隻狗被他打。
nisiw a dalum saana yaku mudok lia.,「你的水被我喝了。」,Danum nu isu inum-en ni yaku.,你的水被我喝了。
imini a saw ka musakaw naki a pai.,「這個人偷我的錢。」,Iza a tauso m-ala piso-ku.,這個人偷我的錢。
imini ka nisiw a tatoko.,「這是你的拐杖。」,Ini su guaizhang.,這是你的拐杖。
imini ka nita a beleben.,「這是我們的香蕉。」,Ini xiangjiao ni ami,這是我們的香蕉。
niam a takat mututing atun lia.,「我們的老師打 Atun 了。」,Minsutaq rausi-ta ci Atun.,我們的老師打 Atun 了。
imini ka nimu a beleben say?,「這是你們的香蕉嗎？」,ini a musa no kamu?,這是你們的香蕉嗎？
imini a saw ka musakaw naki a pai.,「這個人偷我的錢。」,ini a tao ala cinn ni yaku.,這個人偷我的錢。
imini ka naki a siatu.,「這是我的衣服。」,Ini simay ku.,這是我的衣服。
imini ka yaku a siatu.,「這是我的衣服。」,ini a kawas ku,這是我的衣服。
mupuza siw say?,「你來了嗎？」,Musa isu?,你來了嗎？
yaku mausay nisiw a humak.,「我要去你那裡。」（我要去你家）,aku musa tu su luma,我要去你那裡。」（我要去你家）
isiw mupuza yaku a humak.,「你來我這裡。」（你來我的家）,Isu mali ta ruma-ku.,你來我這裡。」（你來我的家）
yaku a aba mututing yaku.,「我的爸爸打我。」,Palu yaku ama-ku.,我的爸爸打我。
imini ka isiw a beleben say?,「這是你的香蕉嗎？」,ini pisang su?,這是你的香蕉嗎？
imini ka imisiw a wazu.,「這是他的狗。」,Ini asu na.,這是他的狗。
imini ka yami a beleben.,「這是我們的香蕉。」,ini ita a saging.,這是我們的香蕉。
imini a dukun ka yaku a dukun.,「這芋頭是我的芋頭。」,Ini tales ka tales ni yaku.,這芋頭是我的芋頭。
imini ka dukun.,「這是芋頭。」,Ini a talo.,這是芋頭。
imini ka yaku a siatu.,「這是我的衣服。」,Ini ku-kawas.,這是我的衣服。
imisiw ka dadas.,「那是番薯。」,iya a kumala.,那是番薯。
imisiw ka yaku a wazu.,「那是我的狗。」,iri asu-ku,那是我的狗。
imini a akhéhén ka alia makuala lia.,「這個小孩快跌倒了。」,ini anak kana faladop na,這個小孩快跌倒了。
imisiw a saw tangiti lia.,「那個人生氣了。」,kana a tau mabaiz ni,那個人生氣了。
imisia a akhéhén mamais ka nang a talima malaleng.,「那個女孩不想自己住。」,Ira a wawa a babai ayaw m-istay isa.,那個女孩不想自己住。
usa sinaw’ina!,「請去洗！」,musa palis!,請去洗！
pakamaziah’i!,「讓（它）熟！」,pamasaq!,讓（它）熟！
yaku ini meken dadas.,「我沒吃番薯。」,Iyaku aci kaen pakay.,我沒吃番薯。
yaku ini mahabay.,「我不舒服。」,iku masakit,我不舒服。
ana mukusa!,「別去！」,maka mulak!,別去！
ana mahuik!,「別那麼懶惰！」,Maka mapizukan!,別那麼懶惰！
pakahalipit’ina!,「請薄一點！」,panipis idak!,請薄一點！
yaku kalamik’en lia.,「我受寒了。」,iku malitemay na.,我受寒了。
pazakay’ina!,「請讓（他）走！」,pa-musa' ciya!,請讓（他）走！
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿到了。」,kaka ni yaya ni yaku n-ala qani’ ni yaku,我的錢被我的伯父撿到了。
maakuat azawzaw lia.,「隨便亂講了。」,m-iza-iza,隨便亂講了。
yaku maakux azawzaw.,「我非常熱。」,ma-inidinid yaku,我非常熱。
mudan lia.,「下雨了。」,maqani,下雨了。
kaidisiw a balan muzakay.,「在那裡的貓走。」,ira a pusi mangay,在那裡的貓走。
yaku mudawan muuput lia.,「我洗澡洗好了。」,Aku ini musa.,我洗澡洗好了。
yaku a apu kaidi angasat midem.,「我的祖母在床上睡覺。」,Apu-ku turu i kama.,我的祖母在床上睡覺。
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」,Masiga ira i ira.,他們在那裡抽菸。
balan mukumuk titay.,「貓抓老鼠。」,pusi masaput koyos.,貓抓老鼠。
imisiw ka mututing wazu.,「他打狗。」,Isia m-palu asu.,他打狗。
yaku mubaxa isiw pai.,「我給你錢。」,iku bizaq isu kane.,我給你錢。
yaku meken lia.,「我吃了。」,minakan yaku.,我吃了。
yaku meken dadas lia.,「我吃番薯了。」,iaku makan kumala ini.,我吃番薯了。
pakamataw’ina!,「請讓（它）大一點！」,pa-dakel-en!,請讓（它）大一點！
pakahalupat’ina!,「請讓（它）長一點！」,pa-lubu pisa!,請讓（它）長一點！
pakalalima’ina!,「請讓（它）便宜一點！」,Pamura a isa!,請讓（它）便宜一點！
yaku ka ini makuit.,「我沒有瘦。」,Yaku adu shou.,我沒有瘦。
kahuy ka ini halupat.,「樹不長。」,kahiw ini tubu.,樹不長。
ini asikit sasay’en a mutapik imini?,「沒有痛怎麼貼這個？」,"au masakit, naima m-tepu ini?",沒有痛怎麼貼這個？
isiw mausay humak ana maida!,「你回家別那麼快！」,Musa' pasiq umay tu ruma'!,你回家別那麼快！
pakahatiken’ina! ana halupas!,「請短一點！別那麼長！」,"Palili’ la, musa qalang la!",請短一點！別那麼長！
ana baget isiw hann!,「你別那麼胖哦！」,Musa isu pang o!,你別那麼胖哦！
mainu azawzaw.,「非常酸。」,dau masem,非常酸。
halupat azawzaw.,「非常長。」,tsin masalu.,非常長。
"yaku a kaaw asikit azawzaw, nang a muzakay lia.",「我的腳非常痛，不能走。」,"Masakit-sakit ku saka, ini mliyaw.",我的腳非常痛，不能走。
tapulu madiak yami a kaxabu.,「漢人討厭我們噶哈巫。」,Hanren taoyan ita Kaxabu.,漢人討厭我們噶哈巫。
imini ka muula maisat imisiw.,「他先罵他。」,Iya musa ma iya.,他先罵他。
isiw haaput tulala bo?,「你想要花嗎？」,isu kaya qwas?,你想要花嗎？
