噶哈巫語,華語,模型翻譯
alo maki yami meken!,「來跟我們吃！」,alo maki yami meken!
nang a maki isiw mukawas.,「不要跟你講話。」,ini mukusa imu pexita.
imini a ahan ka mades ini mukawat.,「這話很久沒說。」,imini a a hann mamudet maahat lia taumaisum.
"imisiw a akhéhén mamais, ukut muaping lia.",「那個女孩，褲子破掉了。」,"imisiw a akhéhén, a wazu makasip lia."
"kaidini a aitukuan, aa’en akhéhén lia.",「在這裡的椅子，被小孩拿走了。」,"kaidini a aaitele, maa’en akhéhén lia."
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」,kaidini nahaza adade a beleben.
kaidisiw a balan muzakay.,「在那裡的貓在走路。」,kaidisiw a balan madiak liaki.
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」,imisiw ka kaidisiw mudok tamaku.
ana monosu!,「別那樣！」,ana isiw!
"ohoni a saw, dahu a hazian a saw haé.",「現在的人，很多壞人呀！」,"ohoni a saw, adali dahazak a saw lia!"
ohoza a saw haaput mukusa binayu.,「以前的人喜歡去山上。」,ohoza a saw tangit muasik mukusa binayu.
mikita azang a titay.,「看到一隻老鼠。」,kaidi saania titay.
kaidini nahaza adade a lubahing a tulala.,「在這裡有一朵花。」,kaidini nahaza a isib.
yami a humak daadalum tuu a bauzak.,「我們家養三隻豬。」,yami a bahut tuu ka aukus.
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,yami dusa ka hakezeng a saw.
ita tuu ka tatawan a saw.,「咱們三個是臺灣人。」,ita dahu ka tatawan a saw.
alia haaput midem lia.,「差不多要睡了。」,alia haapu midem lia.
alia lia.,「差不多了。」,alia lia.
"apu ka ini tahayak, mituku eezaw.",「阿公不累，坐著而已。」,apu ka ini tekesek liaka mituku eti a saanu.
imini eezaw lia.,「這樣而已了。」,imini daé nisi lia.
adade eezaw.,「一個而已。」,saama eezaw.
imini a kazo tuxubut azawzaw.,「這桃子非常甜。」,imini a dukun maa haaput lia.
ana maahan azawzaw hann.,「別亂騙人。」,ana musinaw saaw.
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,atun ohoni medeken yaku a tatoko.
imini ka uzay yaku a beleben.,「這不是我的香蕉。」,imini ka uzay yaku a beleben.
yaku ini meken sumay.,「我沒有吃飯。」,yaku ini meken sumay.
ana mukusa!,「別去！」,ana mukusa!
yaku mayaw meken.,「我還沒吃。」,yaku mayaw meken.
kuang a udan lia.,「沒有雨了。」,kuang a udann lia.
yaku a aba ka nang a musinaw yaku a siatu.,「我的爸爸不要洗我的衣服。」,yaku a aba ka ini musinaw yaku a siatu.
akhéhén mamek axaxay.,「小孩什麼都不懂。」,a akéhén dawan xexén a iu méeseng.
yaku ka mineken lia.,「我吃完了。」,yaku meken selesai lia.
yaku a suazi mudawan ka maida.,「我的弟弟洗澡很快。」,yaku a suazi mudawan iezaw.
yaku ka kaxabu a saw.,「我是噶哈巫人。」,yaku ka kaxabu a saw.
yaku ka meken sumay.,「我在吃飯。」,yaku ka meken sumay.
imini ka uzay yaku a beleben.,「這不是我的香蕉。」,imini ka uzay yaku a beleben.
yaku a aba ka maida a muzakay.,「我的爸爸走路很快。」,yaku a aba madiak a taumak.
yaku a apu madiak a muzakay.,「我的祖父走路很慢。」,yaku a apu madiak a muzak.
yaku nahaza mama iu iah.,「我有哥哥和姊姊。」,yaku nahaza mama iu iah.
muzakay iu maxidaxang haka asikit a punu lia.,「走路和流汗就頭痛了。」,"mazala liaki musinaw, a saanu ta mukuyak lia."
isiw ka haaput meken dadas iu dukun?,「你是要吃番薯還是芋頭？」,isiw ka haaput meken dadas iu dukun?
"yaku haaput mukusa binayu iak, iu ana mukusa iak?",「我要去好，還是不要去好？」,maahéźen iuśina mukusa haki maaxuźuku haki
"ohoni mudan liaka yaku nang a mukusa mikita umama, iu nang a mukusa maahadas.",「現在下雨了，我不想去看田，也不想去玩。」,"ohoni mudan lia, yaku ini maumus mukusa mikita umma, iu ini maumus mukusa."
"imini a saw dahu a pai, kulaka ini mahabay a hinis.",「這個人很有錢，但是不快樂。」,"imini a saw haaput pai, ukun e siang a lenaw."
"ohoni liaka nahaza dalum kula, kuang a alaw lia.",「現在雖然有水，但沒有魚了。」,"ohoni nahaza dalumuk a hanu, aukkanu izu."
anani!,「唉唷！」,aniseu!
anani kuadeng!,「唉唷喂呀！」,aloaho maxanu!
alasay!,「好險！」,haayita!
"masu wazu mukusa binayu mungazip bauzak, ilis haki niam a apuapu.",「我們的祖先會帶狗去山上咬豬、羊。」,yami a apu anu muzakap ka kausak eezumen muupit mamasa makaham maa.
mungazip yaku haki wazu.,「狗咬我。」,mungazip yaku haki wazu.
mataw a mulaliw liaka mauit liaki humak.,「大地震（發生後），房子就倒了。」,balan mudal a wusa sinat boi taisiak lia.
mupayak liaki yaku a siatu.,「我的衣服濕了。」,yaku a siatu liaki.
muasak liaki laladan.,「桌子壞掉了。」,binayu a balanak lia.
mututing yaku haki atun.,「Atun 打我。」,mututing yaku haki atun.
tuting’en ni aba lia.,「被爸爸打了。」,tuting’en ni aba lia.
yami a eten nahaza tuu a atun.,「我們的村莊有三個 Atun。」,sami a puituku kaidi mikit atun.
yami sianglukus malaleng kaidi abaxan.,「我們守城（的人）住在北邊。」,kini siuusina mekesiah a daax kaahin.
"baisia a eten, kaidi ahut.",「牛眠庄在西邊。」,mung mundong kaidi akuisi.
yami ka kaidi daya mupuza.,「我從比較高的、東邊來的。」,yaku mupu maxat a taxan mupu’d ka mausay lia.
yaku haaput mukusa masulohong maahadas.,「我想去中國玩。」,yaku haaput mukusa china nang a tatay.
isiw ka yaku a dakan.,「你在我的前面。」,isiw ka yaku a aitima.
isiw ka yaku a aubin.,「你在我的後面。」,isiw ka yaku a ahan.
"kaidi laladan a babaw, nahaza beleben.",「在桌上，有香蕉。」,"kaidi lala kawas, nahaza beleben."
kalikut ka kaidi amihan.,「大湳在南邊。」,binayungan kaidi daya.
taumin ka daya taating.,「蜈蚣崙東邊一些。」,masiw lian pasat.
dadas kaidi umama.,「番薯在田裡。」,dadas kaidi umama.
yaku maki mama mukusa binayu.,「我跟哥哥去山上。」,yaku maki mama mukusa binayu.
imisiw ka kaidi humak meken sumay lia.,「他在家裡吃飯了。」,imisiw ka kaidi humak meken sumay lia.
imisiw ka kaidi taantaw siisinaw siatu.,「他在水溝洗衣服。」,imisiw ka kaidi takatak sensi bluus.
sasunan ka atun mukusa umama.,「早上阿敦有去田裡。」,zahian ah aton mausay mukusa au.
ahuan ka dahu a saw haaput mudawan.,「晚上很多人要洗澡。」,haisu mahu a saw haaput mudawan.
"ohoza ka kuang a saanu mukukusa, paxuma mulasi eezaw.",「以前沒有什麼工作，種稻子而已。」,"ohoza ini alaa mukugakit, maakun mukudaw a."
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,atun ohoni medeken yaku a tatoko.
kaidi meseket a daali mukusa ahong maa alaw.,「在休息的日子去溪裡抓魚。」,kaidi madiak a daasali mukusaun saciki maakau a bizum.
pasaken daalian liaka mupuza humak meken sumay lia.,「到中午之後回家吃飯了。」,"hapa tuku nasimin mukusa malalau, ana haapu sume hezisen maatabu iang."
"imini dusa ka maxupapa muula, aubin liaka maatebetebe lia.",「這兩個先互罵，後來互捶。」,"imini dusa takut’en’en, paka laluan takut’en’en."
imini a dadas ka yaku a dadas.,「這番薯是我的番薯。」,imini a dadas ka yaku a dadas.
imisiw a saw tangiti lia.,「那個人生氣了。」,imisiw a saw tangiti lia.
mainu a iing ka haaput midem.,「腰痠就要睡覺。」,mainu iu haaput midem.
mamuduk a kaaw lia. nang a muzakay lia.,「腳很腫了，不要走路了。」,matausak haki taating lia.
dahu a paipai kaidi daan.,「很多車在路上。」,daho a wazu kaidi paxuku.
mausay maa taating a dalum.,「去拿一些水。」,usa kaidi alu’iud.
yaku ka nahaza tuu a bauzak.,「我有三隻豬。」,yaku nahaza pating tuu.
imini ka yaku a siatu.,「這是我的衣服。」,imini ka yaku a siatu.
imini ka imisiw a beleben.,「這是他的香蕉。」,imini ka imisiw a beleben.
ita ka tatawan a saw.,「咱們是台灣人。」,ita ka tatawan a saw.
binayu nahaza binayu a bauzak.,「山上有山豬。」,binayu nahaza binayu a bauzak.
paxuma dalum a ali eezaw lia.,「（現在只有）種水筍而已了。」,seket a daun iu iu moko.
"kaidi laladan a babaw, nahaza beleben.",「在桌上，有香蕉。」,kaidi laladan a baba.
ohoza saanu muzakay a daan tatiting eezaw.,「以前道路，小小的而已。」,ohoza tana kabaw liaka inak itezá.
"kaidini a aitukuan, aa’en akhéhén lia.",「在這裡的椅子，被小孩拿走了。」,"kaidini a asitiw a mama, danu a akhéhén lalian."
kaidisiw a balan muzakay.,「在那裡的貓在走。」,kaidisiw a balan madian.
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,yami dusa ka hakezeng a saw.
ita tuu ka tatawan a saw.,「咱們三人是臺灣人。」,ita pia nu ka tatawan a saw.
imu dusa mikita iak liaka iak lia.,「你們兩個如果看好就好了。」,isiw dusa mikita eezo iian.
mudan a daali ka yaku nang a mukusa maahadas.,「下雨的時候我不要去玩。」,mudan a kaumin mukusa a mukusa pai mukuih taumaa.
kaidi meseket a daali mukusa axung maa alaw.,「在休息的日子去溪裡抓魚。」,kaidi midem a dini mukusa taanan apu maxuket fiiw.
mubaza matoway a saw mutahan dahu a pai haé.,「會唱歌的人賺很多錢呢。」,ohoni muskita suzuki a saw haka a pai takah ima.
imini ka miadua a saw a beleben.,「這是那邊的人的香蕉。」,imini ka kaidi a saw a beleben.
imisiw a akhéhan a siatu mupayak lia.,「那個小孩的衣服濕了。」,imisiw a akhéhat a siatu mima lia.
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿一點豬肉去我朋友家。」,yaku haaput kiw tait a tilung a selemek mukusa yaku a bapake binayu.
kaidini nahaza adade a lubahing a tulala.,「這裡有一朵紅花。」,kaidini nahaza saaden a lalum swi.
"uzay pato ohoni dahu a mataw a dalum, kuang a alaw saanu mukumuk.",「不像現在很多大的水，沒有魚可以抓。」,"ini imisiw kaidi dahu a hinisian a wadu a aian, iu iu a baba maa mézikéhén."
musamian dahu a binayu a apuapu iu kaidi axung a apuapu.,「拜很多山上的祖先以及溪裡的祖先。」,musakaw eten sawan iu a apuapu a tahezeng a apuapu.
imini a akhéhén mamais iak a hinis.,「這女孩心地很好。」,imini a inak a khutuk haki say.
yaku dahu a suazi mamais.,「我很多妹妹。」,yaku dahu a saisai.
baba atun mukusa binayu mukukusa.,「Atun 伯伯去山上工作。」,atun papa mukusa binayu humak.
tata sabong ka mukusa mataw a axung maa alaw.,「Sabong 阿姨去大溪抓魚。」,sabong a mayu mukusa takuas selevél.
dahu a angat sabong.,「很多 Sabong 的名字。」,dahu a sabong a agalang.
dahu a sabong a langat.,「很多 Sabong 的名字。」,dahu a sabong a ngazeng.
imini ka yaku mubaiw a beleben.,「這是我買的香蕉。」,imini ka yaku maimais liaki a beleben.
imisiw ka yaku a apu paxuma a kixiw.,「那是我祖母種的苧麻。」,imisiw ka yaku a apakezaw a siw bys.
ita ka tatawan a saw.,「我們是台灣人。」,ita ka tatawan a saw.
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,yami dusa ka hakezeng a saw.
imisiw ka yaku a ina.,「她是我的母親。」,imisiw ka yaku a ina.
imisiw ka yaku a aba.,「他是我的父親。」,imisiw ka yaku a aba.
imisiw ka yaku a aba.,「那是我的爸爸。／他是我的爸爸。」,imisiw ka yaku a aba.
imini ka yaku a batan.,「這是我的朋友。／他是我的朋友。」,imini ka yaku a batan.
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」,imisiw ka kaidisiw mudok tamaku.
"yaku ka kaidini mutuku, imu ka kaidisiw maahadas.",「我在這裡玩，他們在那裡玩。」,"yaku ka kaidini pialu, imu ka kaidisiw aana pialu."
imu ka utakay a saw.,「他們是客家人。」,imu ka kaidikoh a saw.
imu dusa mupuza yami a humak.,「你們兩個人來到我們的家。」,imu dusa mupuza yami a humak.
imisiw ka mupuza kaidini maahadas.,「他（們）來這邊玩。」,imisiw ka mupuza kaidini maahadas.
imisiw ka mausay humak lia.,「他（們）要回家了。」,imisiw ka mausay humak lia.
yaku saisiman isiw.,「我疼你。」,yaku asikit isiw.
isiw saisiman yaku.,「你疼我。」,isiw saisiman yaku.
yaku ka mamaneng a saw.,「我是男人。」,yaku ka utuku a isiw.
isiw ka mausay tshay?,「你要去哪裡？」,isiw ka mausay tshay?
imisiw adade mukusa mataw eten.,「他自己去街上。」,imisiw ka talima mausay binayu.
ita ka tatawan a saw.,「咱們是台灣人。」,ita ka tatawan a saw.
yami dusa ka hakezeng a saw.,「我們兩個是老人。」,yami dusa ka hakezeng a saw.
imu dusa mupuza yami a humak.,「你們兩個人來到我們的家。」,imu dusa mupuza yami a humak.
imu ka utakay a saw.,「他們是客家人。」,imu ka utakay a saw.
mahabay ki yaku.,「我很舒服。」,mahabay ki yaku.
nang a musapoh daxe haki yaku.,「我不要掃地板。」,hakamut um liaka saanu.
iak a lama ki isiw.,「你真好命。」,iázak a takatu pai.
kuang a pai saanu medepex haki yami.,「我們沒有錢可以讀書。」,yami kuut saanu mataxu matadin.
iak a saanu mitun haki ita.,「咱們該起來了！」,pazakay binayu imu!
paka yaku matahatan haki imu.,「你們讓我很快樂。」,paka yaku madiak haki it.
saw haaput mahatan yaku.,「人愛笑我。」,saw haaput’i haki yaku.
yaku haaput isiw.,「我愛你。」,sikaw azo yaku.
pakatangiti ita haki taumala.,「政府讓咱們生氣。」,pakatene nang a hakiitu takam.
nita a takat mupuza kiikita yami.,「我們的老師來看我們。」,nita a takat mupuza nitanita.
mungazip yaku haki wazu.,「狗咬我。」,mungazip yaku haki wazu.
mututing yaku haki atun.,「Atun 打我。」,mututing yaku haki atun.
sinaw’en naki lia.,「被我洗了。」,sinaw’en naki eezak lia.
salaman maa’en naki lia.,「碗被我拿了。」,salaman maa’en naki lia.
isiw a mizazuk a dalum dok’en yaku lia.,「你的水被我喝了。」,isiw a diniw mahabay yaku iean.
muaxay ki nisiw a akhéhén mangit hann?,「為什麼你的小孩在哭？」,muaxay ki a iu ka nahaza akézaw?
tuting’en yaku hann.,「被我打了。」,tuting’en naki lia.
imini a wazu ka saanu imisiw mututing.,「這隻狗被他打。」,imini a wazu ka saanu imisiw mututing.
nisiw a dalum saana yaku mudok lia.,「你的水被我喝了。」,isiw a dalum kulaka yaku mudok lia.
imini a saw ka musakaw naki a pai.,「這個人偷我的錢。」,imini a saw haki yaku a pai.
imini ka nisiw a tatoko.,「這是你的拐杖。」,imini ka nisiw a tatoko.
imini ka nita a beleben.,「這是我們的香蕉。」,imini ka yami a beleben.
niam a takat mututing atun lia.,「我們的老師打 Atun 了。」,niam a takat mututing atun lia.
imini ka nimu a beleben say?,「這是你們的香蕉嗎？」,imini ka nimu a beleben say?
imini a saw ka musakaw naki a pai.,「這個人偷我的錢。」,imini a saw mahatux naki a pai.
imini ka naki a siatu.,「這是我的衣服。」,imini ka yaku a siatu.
imini ka yaku a siatu.,「這是我的衣服。」,imini ka yaku a siatu.
mupuza siw say?,「你來了嗎？」,isiw ka saisitu marenex?
yaku mausay nisiw a humak.,「我要去你那裡。」（我要去你家）,yaku mausikusa isiw mubai.
isiw mupuza yaku a humak.,「你來我這裡。」（你來我的家）,isiw azian yaku a humakx.
yaku a aba mututing yaku.,「我的爸爸打我。」,yaku a aba mututing yaku.
imini ka isiw a beleben say?,「這是你的香蕉嗎？」,imini ka isiw a beleben say?
imini ka imisiw a wazu.,「這是他的狗。」,imini ka imasikit a wazu.
imini ka yami a beleben.,「這是我們的香蕉。」,imini ka yami a beleben.
imini a dukun ka yaku a dukun.,「這芋頭是我的芋頭。」,imini a dukun ka yaku a dukun.
imini ka dukun.,「這是芋頭。」,imini ka dukun.
imini ka yaku a siatu.,「這是我的衣服。」,imini ka yaku a siatu.
imisiw ka dadas.,「那是番薯。」,imisiw ka dadas.
imisiw ka yaku a wazu.,「那是我的狗。」,imisiw ka yaku a wazu.
imini a akhéhén ka alia makuala lia.,「這個小孩快跌倒了。」,imini a akhéhén ka muzakay lia.
imisiw a saw tangiti lia.,「那個人生氣了。」,imisiw a saw tangiti lia.
imisia a akhéhén mamais ka nang a talima malaleng.,「那個女孩不想自己住。」,imisiw a ina ka nang a talima lalawa.
usa sinaw’ina!,「請去洗！」,usa sinaw’ina!
pakamaziah’i!,「讓（它）熟！」,pakamataw’ina!
yaku ini meken dadas.,「我沒吃番薯。」,yaku ini meken dadas.
yaku ini mahabay.,「我不舒服。」,ini mahabay kiaku.
ana mukusa!,「別去！」,ana mukusa!
ana mahuik!,「別那麼懶惰！」,ana umama kuaput!
pakahalipit’ina!,「請薄一點！」,pakahazi’ina!
yaku kalamik’en lia.,「我受寒了。」,seket’en naki yaku.
pazakay’ina!,「請讓（他）走！」,pakita’ina!
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿到了。」,yaku a pai deken’en naki a baba lia.
maakuat azawzaw lia.,「隨便亂講了。」,paxaxan liaki mukawas lia.
yaku maakux azawzaw.,「我非常熱。」,yaku maakux azawzaw.
mudan lia.,「下雨了。」,mudan lia.
kaidisiw a balan muzakay.,「在那裡的貓走。」,kaidisiw a balan mizikzik.
yaku mudawan muuput lia.,「我洗澡洗好了。」,yaku mudawan muuput lia.
yaku a apu kaidi angasat midem.,「我的祖母在床上睡覺。」,yaku a apu kaidi angasat midem.
imu ka kaidisiw mudok tamaku.,「他們在那裡抽菸。」,imu ka kaidisiw mudok tamaku.
balan mukumuk titay.,「貓抓老鼠。」,balan mukumuk titay.
imisiw ka mututing wazu.,「他打狗。」,imisiw ka mututing wazu.
yaku mubaxa isiw pai.,「我給你錢。」,yaku mubai isiw pai.
yaku meken lia.,「我吃了。」,yaku meken lia.
yaku meken dadas lia.,「我吃番薯了。」,yaku meken dadas lia.
pakamataw’ina!,「請讓（它）大一點！」,pakahalupaput’ina!
pakahalupat’ina!,「請讓（它）長一點！」,pakahalupat’ina!
pakalalima’ina!,「請讓（它）便宜一點！」,pazakay’ina!
yaku ka ini makuit.,「我沒有瘦。」,yaku ini siw.
kahuy ka ini halupat.,「樹不長。」,ahinaw asuun.
ini asikit sasay’en a mutapik imini?,「沒有痛怎麼貼這個？」,ini taitisinu’in mukubat alia?
isiw mausay humak ana maida!,「你回家別那麼快！」,isiw pahali’i nang ka iu haki takayan.
pakahatiken’ina! ana halupas!,「請短一點！別那麼長！」,pakahalin! ana idahat!
ana baget isiw hann!,「你別那麼胖哦！」,isiw a iak taumalam exéh!
mainu azawzaw.,「非常酸。」,hasa azawzaw.
halupat azawzaw.,「非常長。」,halupat.
"yaku a kaaw asikit azawzaw, nang a muzakay lia.",「我的腳非常痛，不能走。」,"yaku a nahazak mahuza azawzaw lia, nang a muzakay."
tapulu madiak yami a kaxabu.,「漢人討厭我們噶哈巫。」,paxima yamubu naxatana kaxabu a saw.
imini ka muula maisat imisiw.,「他先罵他。」,imini ka utuk mumaak haki imisiw.
isiw haaput tulala bo?,「你想要花嗎？」,isiw haaput tulax say?
yaku kalamik’en lia.,「我受寒了。」,maudan liaki yaku.
yaku ohoni kamaakux’en lia.,「我今天熱到了。」,yaku ini uzawzaw pai.
imini a saw kabusukan lia.,「這個人酒醉了」,imini a saw haw ka alingit lia.
mituku lia.,「坐了。」,mituku lia.
usa midem!,「去睡！」,usa midem!
idem’ina!,「請睡！」,idem’ina!
mukusa binayu madu tilikas.,「去山上放陷阱。」,usa kaki ausan pumaa mubuau.
isiw a pai adu’i iak hann.,「你的錢放好哦！」,pakep’i ki a pai todolo na!
ohoni ini mudan.,「今天沒下雨。」,ohoni ini mudan.
ohoni ka kuang a udan.,「今天沒有雨。」,ohoni ini mudan.
mungazip yaku haki wazu.,「狗咬我。」,mungazip yaku haki wazu.
mututing yaku haki atun.,「Atun 打我。」,mututing yaku haki atun.
yaku mudok isiw a mizazuk a dalum.,「我喝你的水。」,yaku ina isiw a dalum.
yaku mukusa musapoh daan.,「我去掃馬路。」,yaku mukusa humak liadas.
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,titay ngazip’en ni balan lia.
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」,yaku a balax ka sakaw’en saw lia.
salaman maa’en naki lia.,「碗被我拿走了。」,salaman maa’en naki lia.
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」,yaku a aitukuan dali’en saw lia.
binayu a bauzak kumuk’en naki a aba lia.,「山豬被我父親抓到了。」,kaidi balan mamubu’en naki a aba.
tuting’en ni aba lia.,「被父親打了。」,tuting’en ni aba lia.
tuting’en saw lia.,「被人打了。」,tuting’en saw lia.
sinaw’en naki lia.,「被我洗了。」,sinaw’en naki lia.
doko’en saw lia.,「被人舉走了。」,salaman maa’en haki yaku lia.
mudok’en saw lia.,「被人喝了。」,tuting’en saw lia.
maa’en liaki salaman.,「碗被（我）拿走了。」,salaman maa’en ita haki lia.
ngazip’en lia.,「被咬了。」,miak’en lia.
sakaw’en lia.,「被偷了。」,kabusaken lia.
imini a wazu saanu imisiw mututing.,「這隻狗被他打。」,imini a wazu ka saanu imisiw mututing.
yaku saana hazian a saw maahan lia.,「我被壞人騙了。」,yaku saana hazian a saw tatau lia.
nisiw a saabazu aitanana!,「你的肥皂請給我！」,isiw a sikilat haka yaku!
muasak liaki aitukuan.,「椅子壞掉了。」,maitem a azitia lia.
imini ka saanu siisinaw buxu.,「這用來洗身體。」,imini ka saanu asikit tëfës.
yaku nahaza tuu a saanu biibizu.,「我有三枝用來寫的。」,yaku nahaza mikit mupuza maahadah.
isiw ka nahaza saanu mutapok a ahan a lalawa bo?,「你有用來摀嘴的布（口罩）嗎？」,isiw ka nahaza saanu pumaa’a lalatu a siatu?
aba mututing akhéhén.,「父親打小孩。」,aba mututing akhéhén.
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿到。」,yaku a pai deken’en naki a baba lia.
maudanay lia.,「要下雨了。」,haaput mudan lia.
mudan lia.,「下雨了。」,mudan lia.
pasakenay lia.,「將要到了。」,pasakenay lia.
pasaken lia.,「到了。」,zukut lia.
alia mudan lia.,「要下雨了。」,haaput mudan lia.
imini a akhéhan ka alia makuala lia.,「這個小孩要跌倒了。」,imini a akhéhan tangaw mupuasak.
alia maziah lia.,「要熟了。」,alia mata’en.
alia makait lia.,「要乾了。」,seblay lia.
alia lia.,「差不多了。」,alia lia.
alia mausay lia.,「（我）差不多要去了。」,meseken daééki lia.
alia pasakenay lia.,「差不多要到了。」,alia mupuza lia.
alia haaput midem lia.,「（我）差不多要睡了。」,alia haaput midem lia.
"kaidi tshay a teehen a uung lia, alia haaput mudan lia.",「在某處雲很黑了，差不多要下雨了。」,"kaidi tshay bina matawak lia, haidupui midem lia."
mainu a iing ka haaput midem.,「腰痠就要休息。」,mainu hakeela e madiak ieziten.
saw haaput mahatan yaku.,「人愛笑我。」,misam a musinat yaku.
yaku haaput isiw.,「我愛你。」,yaku haaput isiw.
haaput mudan lia.,「要下雨了。」,haaput mudan lia.
haaput mupuza lia.,「要來了。」,haaputusa.
haaput mudawan.,「要洗澡。」,haaput mudawan.
haaput mudan lia.,「要下雨了。」,haaput mudan lia.
yaku a aba mayaw meneken.,「我的父親還沒吃完。」,yaku a aba mayaw meken.
